"Road lengths (miles) by road type in Great Britain, 1914 - 2021",,,,,,,,,,,,,,
Table RDL0103,,,,,,,,,,,,,,
Department for Transport statistics,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,
"Notes are used throughout this table, please see the notes tab to find the related notes text",,,,,,,,,,,,,,
Values in this table may not sum due to rounding,,,,,,,,,,,,,,
Some symbols are used in this table . Is used where data not applicable and : where value not available ,,,,,,,,,,,,,Miles,
Year,Trunk Motorways,Principle Motorways,Total Motorways,Trunk 'A' roads,Principle 'A' Roads,Total 'A' Roads,All major roads,'B' road,C' road,U' road,'C' and 'U' roads,All minor roads,All roads,
2014,2239,26,2265,5272,23799,29071,31336,18770,:,:,195721,214491,245827,
2015,2245,26,2270,5268,23798,29065,31335,18819,52420,143305,195724,214543,245879,
2016,2242,26,2268,5260,23830,29090,31357,18825,:,:,196328,215152,246510,
2017,2264,28,2292,5270,23870,29140,31432,18842,:,:,196435,215277,246709,
2018,2286,27,2313,5388,24052,29440,31754,18836,53392,142715,196107,214943,246697,
2019,2292,27,2320,5409,24080,29489,31809,18842,:,:,196404,215246,247055,
2020,2294,27,2321,5433,24089,29522,31843,18852,:,:,196834,215686,247529,
2021,2294,27,2321,5431,24107,29538,31859,18852,:,:,197116,215968,247827,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
